name,Total_NF,NegativeNF,PositiveNF,name,Total_F,NegativeF,PositiveF,Name,TotalNF,NegNF,PosNF,name,Total_F_Added,NegF-added,posF-added
a2lettsome,0.11,0.00,0.11,a_epic,0.00,-0.18,0.18,a2lettsome,0.11,0.00,0.11,a_epic,0.00,-0.18,0.18
Aabbbyy_,0.64,-0.48,1.12,Aakarsh_sree,0.26,-0.22,0.48,Aabbbyy_,0.64,-0.48,1.12,Aakarsh_sree,0.26,-0.22,0.48
abcdefgayy,-0.19,-0.66,0.46,aarold01,0.26,-0.29,0.55,abcdefgayy,-0.19,-0.66,0.46,aarold01,0.26,-0.29,0.55
abdogmy1,0.00,-0.01,0.02,aaronpc59,-0.04,-0.09,0.05,abdogmy1,0.00,-0.01,0.02,aaronpc59,-0.04,-0.09,0.05
abelsniaz,0.06,-0.56,0.62,AboutIt_Tay,-0.09,-0.21,0.12,abelsniaz,0.06,-0.56,0.62,AboutIt_Tay,-0.09,-0.21,0.12
abydarmz,0.03,-0.58,0.61,ach_ayuneram,0.13,-0.04,0.17,abydarmz,0.03,-0.58,0.61,ach_ayuneram,0.13,-0.04,0.17
adamfleming96,-0.31,-0.78,0.47,adila145,0.09,-0.05,0.14,adamfleming96,-0.32,-0.78,0.47,adila145,0.09,-0.05,0.14
Adjoa_alldAy,0.20,-0.38,0.58,Admoretta,-0.11,-0.13,0.02,Adjoa_alldAy,0.20,-0.38,0.58,Admoretta,-0.11,-0.13,0.02
AGattoB_TCH16,0.33,-0.21,0.54,afifaabdjalil,0.12,-0.19,0.31,AGattoB_TCH16,0.33,-0.21,0.54,afifaabdjalil,0.12,-0.19,0.31
aj_emmanuel,0.25,-0.23,0.48,ahhh_dee,0.03,-0.47,0.50,aj_emmanuel,0.25,-0.23,0.48,ahhh_dee,0.02,-0.47,0.50
akaShelbs,-0.03,-0.66,0.63,ahhsahh,0.00,0.00,0.00,akaShelbs,-0.03,-0.66,0.63,ahhsahh,0.00,0.00,0.00
Al3nziBdr,0.00,0.00,0.00,ahmadniyzar_,0.09,-0.11,0.20,Al3nziBdr,0.00,0.00,0.00,ahmadniyzar_,0.09,-0.11,0.20
alanalovee,0.25,-0.45,0.70,ahxinnn_,-0.15,-0.51,0.36,alanalovee,0.25,-0.45,0.70,ahxinnn_,-0.15,-0.51,0.36
AliGaberAli,0.00,0.00,0.00,aida_almiron,-0.16,-0.18,0.03,AliGaberAli,0.00,0.00,0.00,aida_almiron,-0.16,-0.18,0.03
allstarsings,0.01,-0.41,0.43,aishanura,-0.36,-0.76,0.40,allstarsings,0.01,-0.41,0.43,aishanura,-0.36,-0.76,0.40
alvaromontes725,0.41,-0.10,0.51,AJHayez,0.12,-0.67,0.78,alvaromontes725,0.41,-0.10,0.51,AJHayez,0.12,-0.67,0.78
AmandaTaylor08,0.62,-0.30,0.92,akaasartule,0.14,-0.53,0.68,AmandaTaylor08,0.62,-0.30,0.92,akaasartule,0.14,-0.54,0.67
amerr_aref,0.14,-0.12,0.26,aldisha_tamara,0.22,-0.22,0.44,amerr_aref,0.14,-0.12,0.26,aldisha_tamara,0.22,-0.22,0.44
AmierBitch,-0.14,-0.52,0.38,Alex_Siber,0.66,-0.28,0.94,AmierBitch,-0.14,-0.52,0.38,Alex_Siber,0.66,-0.28,0.94
amit_chodhary,0.40,-0.02,0.42,alexa_grant,0.02,-0.48,0.49,amit_chodhary,0.40,-0.02,0.42,alexa_grant,0.01,-0.48,0.49
amndlno,0.13,-0.06,0.19,Alexandra__Rock,0.12,-0.21,0.33,amndlno,0.13,-0.06,0.19,Alexandra__Rock,0.11,-0.22,0.33
anaaryhn,0.25,-0.13,0.39,AlexandraaCasoo,0.10,-0.61,0.71,anaaryhn,0.25,-0.14,0.39,AlexandraaCasoo,0.10,-0.61,0.71
anabibah_,0.13,-0.08,0.21,AlexJimenezDj,-0.02,-0.07,0.05,anabibah_,0.13,-0.08,0.21,AlexJimenezDj,-0.02,-0.07,0.05
AndrewBunbury,-0.01,-0.65,0.64,alexxthorntonn,0.45,-0.32,0.77,AndrewBunbury,-0.01,-0.65,0.64,alexxthorntonn,0.45,-0.32,0.77
Ank_yuma1209,0.00,0.00,0.00,allenarayne,0.43,-0.52,0.95,Ank_yuma1209,0.00,0.00,0.00,allenarayne,0.43,-0.52,0.95
anoodii_72,0.00,0.00,0.00,allie_catt13,0.11,-0.37,0.48,anoodii_72,0.00,0.00,0.00,allie_catt13,0.10,-0.38,0.48
anyaxamor,-5.33,-5.33,0.00,AmandaJihan,0.24,-0.10,0.34,anyaxamor,-5.33,-5.33,0.00,AmandaJihan,0.24,-0.10,0.34
AOL28,0.23,-0.04,0.27,AmiliaPermataS,0.16,-0.04,0.20,AOL28,0.23,-0.04,0.27,AmiliaPermataS,0.16,-0.04,0.20
AREONE27,-0.04,-0.57,0.53,AmniiF_,0.10,-0.16,0.26,AREONE27,-0.04,-0.57,0.53,AmniiF_,0.10,-0.16,0.26
ArthaBliss,0.35,-0.04,0.40,AmyWilkes15,-0.09,-0.63,0.54,ArthaBliss,0.35,-0.05,0.39,AmyWilkes15,-0.09,-0.63,0.54
asdfgkxjd1,0.00,0.00,0.00,anacristina1227,0.03,-0.18,0.20,asdfgkxjd1,0.00,0.00,0.00,anacristina1227,0.03,-0.18,0.20
AshiAkira,0.84,-0.22,1.07,andrewdaaboul,0.14,-0.45,0.59,AshiAkira,0.84,-0.23,1.07,andrewdaaboul,0.14,-0.45,0.59
atah_ovagob91,0.00,0.00,0.00,AndyWeldon1,0.33,-0.38,0.71,atah_ovagob91,0.00,0.00,0.00,AndyWeldon1,0.33,-0.38,0.71
aussiesharapova,0.56,-0.29,0.85,AngelitaRam,-0.02,-0.09,0.07,aussiesharapova,0.56,-0.29,0.85,AngelitaRam,-0.02,-0.09,0.07
AustinTodd11,0.36,-0.09,0.45,anjeljaneh,0.80,-0.18,0.99,AustinTodd11,0.36,-0.09,0.45,anjeljaneh,0.80,-0.18,0.99
awaljani4,0.00,0.00,0.00,Anna8x8,0.64,-0.18,0.82,awaljani4,0.00,0.00,0.00,Anna8x8,0.64,-0.18,0.82
axia_yoon,0.73,-0.08,0.81,AnonDitto,-0.12,-0.63,0.51,axia_yoon,0.73,-0.08,0.80,AnonDitto,-0.12,-0.63,0.51
