id,label,timeset,eigencentrality,modularity_class
00k,00k,,0.0,11
kb,kb,,0.19641720891570533,11
078_yess,078_yess,,0.0,0
AntiJokeTyrone,AntiJokeTyrone,,0.32866644670260436,0
sdcmedia,sdcmedia,,0.019333320394270846,0
09youngm,09youngm,,0.02974843246886786,1
raguas4,raguas4,,0.05949686493773562,1
siddersgeorge,siddersgeorge,,0.02974843246886786,1
108,108,,0.2687547998385852,11
jennatar,jennatar,,0.5222309803009237,11
1140miles,1140miles,,0.0,2
ShayeWilkowske_,ShayeWilkowske_,,0.009666660197135423,2
143mandz,143mandz,,0.0,16
JustBlaze,JustBlaze,,0.5837969916860555,16
1D_news24_7,1D_news24_7,,0.0,3
1DLittleSecret,1DLittleSecret,,0.2714149373972534,3
1dhugsx,1dhugsx,,0.0,3
209scraziest,209scraziest,,0.0,4
alyssalee64,alyssalee64,,0.009666660197135423,4
2CC,2CC,,0.009666660197135423,5
Lerida_Estate,Lerida_Estate,,0.030261955120599267,5
mrbenjaminlaw,mrbenjaminlaw,,0.09234584114530953,5
3FE,3FE,,0.1023085927793695,6
forkncork,forkncork,,0.07968301719817042,6
44,44,,0.2667095046339587,7
c2,c2,,0.1386084794311759,7
rx,rx,,0.3490743937104328,7
468,468,,0.0,7
WNews_Reddit,WNews_Reddit,,0.019333320394270846,7
iA,iA,,0.3141714771521089,7
4everwine,4everwine,,0.0,8
Aliceday09,Aliceday09,,0.009666660197135423,8
50atbid,50atbid,,0.0,7
BW,BW,,0.9958721334238767,7
58R,58R,,0.02974843246886786,9
MutePaper,MutePaper,,0.02974843246886786,9
982Ethan,982Ethan,,0.0,371
FA,FA,,1.0,371
9ja_Boss,9ja_Boss,,0.02974843246886786,10
TemiAdebiyi,TemiAdebiyi,,0.02974843246886786,10
9x,9x,,0.04307237683394874,11
politiquestions,politiquestions,,0.04617292057265479,11
ADBremner,ADBremner,,0.009666660197135423,38
alexmassie,alexmassie,,0.08901036818087336,38
ADPHUK,ADPHUK,,0.02974843246886786,12
pbradley1965,pbradley1965,,0.02974843246886786,12
ALI_75015,ALI_75015,,0.0,13
L_Emilie78,L_Emilie78,,0.009666660197135423,13
AP_Alyson,AP_Alyson,,0.02974843246886786,14
A_lexandra2,A_lexandra2,,0.02974843246886786,14
ARTORICAL,ARTORICAL,,0.0,7
ASSonLOSO,ASSonLOSO,,0.02974843246886786,15
montCAPboii1,montCAPboii1,,0.02974843246886786,15
ASipOf_Mocha,ASipOf_Mocha,,0.009666660197135423,16
DiBiaseATL,DiBiaseATL,,0.16110459447993458,16
ATLHustlerPride,ATLHustlerPride,,0.0,17
VPMattJR,VPMattJR,,0.02899998059140627,17
AVASradiance,AVASradiance,,0.0,11
GamesBeat,GamesBeat,,0.24015223609725772,11
AWillThaGreat,AWillThaGreat,,0.02974843246886786,18
_NiquaaBoo,_NiquaaBoo,,0.02974843246886786,18
A_Merritt23,A_Merritt23,,0.02974843246886786,19
iza14018812,iza14018812,,0.02974843246886786,19
Aarmynah,Aarmynah,,0.04307237683394874,20
Its_ybello,Its_ybello,,0.04617292057265479,20
AboutIt_Tay,AboutIt_Tay,,0.0,337
