id,indegree,outdegree,degree
00k,0,1,1
kb,3,1,4
078_yess,0,2,2
AntiJokeTyrone,34,0,34
sdcmedia,2,0,2
09youngm,1,2,3
raguas4,2,0,2
siddersgeorge,1,2,3
108,2,1,3
jennatar,7,2,9
1140miles,0,1,1
ShayeWilkowske_,1,0,1
143mandz,0,1,1
JustBlaze,34,0,34
1D_news24_7,0,1,1
1DLittleSecret,26,0,26
1dhugsx,0,1,1
209scraziest,0,1,1
alyssalee64,1,0,1
2CC,1,2,3
Lerida_Estate,2,1,3
mrbenjaminlaw,4,1,5
3FE,4,1,5
forkncork,1,1,2
44,4,2,6
c2,1,1,2
rx,5,3,8
468,0,2,2
WNews_Reddit,2,0,2
iA,11,1,12
4everwine,0,1,1
Aliceday09,1,0,1
50atbid,0,1,1
BW,44,1,45
58R,1,1,2
MutePaper,1,1,2
982Ethan,0,1,1
FA,76,0,76
9ja_Boss,1,1,2
TemiAdebiyi,1,1,2
9x,1,1,2
politiquestions,2,1,3
ADBremner,1,1,2
alexmassie,6,0,6
ADPHUK,1,1,2
pbradley1965,1,1,2
ALI_75015,0,1,1
L_Emilie78,1,0,1
AP_Alyson,1,1,2
A_lexandra2,1,1,2
ARTORICAL,0,1,1
ASSonLOSO,1,1,2
montCAPboii1,1,1,2
ASipOf_Mocha,1,1,2
DiBiaseATL,2,2,4
ATLHustlerPride,0,1,1
VPMattJR,3,0,3
AVASradiance,0,1,1
GamesBeat,5,1,6
AWillThaGreat,1,1,2
_NiquaaBoo,1,1,2
A_Merritt23,1,1,2
iza14018812,1,1,2
Aarmynah,1,1,2
Its_ybello,2,1,3
AboutIt_Tay,0,1,1
kenjeong,53,0,53
AceTorie,1,1,2
Ninnamariexo1,2,2,4
Ace_Levy_,1,1,2
NemRaps,3,2,5
AdmiralDurano,0,1,1
AfRuLeUx,1,2,3
Cleem_cht,1,1,2
pasletime,11,0,11
AlanaReimondo,1,1,2
brookechase36,1,1,2
Ale_carl36,0,1,1
AlecThompson3,1,1,2
arriffee,1,1,2
AlecThompson6,1,1,2
maddiejonesxoxo,1,1,2
Alex_Sizdi,1,1,2
PiLs_TK,1,2,3
AlexaCastillos,0,1,1
Orozco___,1,0,1
Alexaaandria,0,1,1
AlexandraMC4706,1,1,2
Keith_A_20,2,3,5
AlexandraaCasoo,0,1,1
tbhjustlol,15,0,15
AllisonPerales,0,1,1
