                f0           f1           f2           f3           f4           f5           f6           f7           f8           f9
count  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000
mean      0.133551     0.109478     0.015635     0.056336     0.037207     0.020639     0.107591     0.411228     0.093289     0.006825
std       0.228275     0.149052     0.074061     0.133243     0.117990     0.126954     0.164830     0.334082     0.183641     0.045384
min       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
25%       0.000000     0.010000     0.000000     0.000000     0.000000     0.000000     0.000000     0.080000     0.000000     0.000000
50%       0.010000     0.050000     0.000000     0.010000     0.000000     0.000000     0.050000     0.370000     0.020000     0.000000
75%       0.150000     0.150000     0.000000     0.050000     0.030000     0.000000     0.140000     0.710000     0.070000     0.000000
max       1.000000     1.000000     1.000000     1.000000     1.000000     1.000000     0.990000     1.000000     1.000000     1.000000

[8 rows x 10 columns]
