class,id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
7,1,0,0,0,0,0,0,0,0.99,0,0
7,2,0.1,0.03,0.02,0.07,0.02,0,0.2,0.55,0.01,0
6,3,0.42,0,0,0.05,0.03,0,0.45,0,0.04,0
7,4,0,0.06,0,0,0,0,0.05,0.82,0.06,0
0,5,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1,6,0.03,0.73,0.02,0.1,0,0,0.05,0.07,0,0
3,7,0,0.06,0,0.84,0,0,0,0.1,0,0
4,8,0.01,0.03,0,0.11,0.31,0,0.31,0.06,0.15,0
7,9,0,0.2,0,0.04,0.03,0,0.09,0.51,0.12,0
7,10,0.02,0.17,0.27,0,0,0,0.11,0.43,0,0
1,11,0.01,0.51,0.02,0,0,0,0.15,0.3,0,0
8,12,0,0,0,0.17,0.27,0,0,0,0.54,0
0,13,0.81,0.12,0,0,0,0,0,0.04,0.02,0.01
7,14,0,0.05,0,0.09,0.03,0,0.34,0.39,0.09,0
7,15,0.38,0.05,0,0,0,0,0,0.56,0,0
8,16,0,0,0,0.23,0,0,0,0,0.76,0
8,17,0,0.24,0,0.14,0.07,0,0.06,0.12,0.37,0
1,18,0,0.35,0,0.01,0.01,0,0.1,0.29,0.23,0
7,19,0,0.15,0,0.1,0.02,0,0,0.64,0.09,0
0,20,0.83,0.04,0,0.04,0.02,0,0,0.06,0.01,0
7,21,0,0,0,0,0,0,0.01,0.99,0,0
7,22,0.03,0.18,0.02,0,0,0,0.07,0.68,0,0
8,23,0.01,0.14,0,0.11,0.07,0,0.19,0.22,0.26,0
7,24,0,0.11,0,0,0,0,0,0.74,0.14,0
6,25,0.05,0.09,0.3,0,0.06,0.06,0.34,0.08,0,0
6,26,0,0.04,0.01,0,0,0,0.79,0,0.14,0
7,27,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,28,0.4,0.06,0,0,0,0,0.04,0.49,0,0
4,29,0.02,0,0,0,0.97,0,0,0,0,0
7,30,0.16,0.03,0,0,0,0,0.03,0.77,0,0
8,31,0,0.13,0,0.17,0.11,0,0.21,0.1,0.26,0
9,32,0,0,0,0,0,0,0,0,0,1
7,33,0.21,0.02,0,0,0,0,0,0.76,0,0
4,34,0,0.02,0,0.33,0.51,0,0,0.14,0,0
7,35,0.17,0,0,0.12,0.07,0,0.14,0.39,0.1,0
3,36,0,0,0,0.4,0.02,0,0.29,0.03,0.25,0
7,37,0,0.04,0,0,0,0,0,0.96,0,0
1,38,0,0.35,0,0.31,0.05,0,0.14,0.12,0.02,0
1,39,0,0.35,0,0,0.19,0,0.24,0.2,0,0
3,40,0.02,0.17,0,0.35,0.01,0,0.11,0.21,0.13,0
7,41,0,0.07,0,0.1,0.06,0,0,0.67,0.09,0
7,42,0.06,0.13,0.02,0,0,0,0.04,0.74,0.02,0
3,43,0,0.03,0,0.68,0.13,0,0,0,0.16,0
6,44,0.03,0.22,0,0.08,0,0,0.32,0.2,0.14,0
7,45,0,0.04,0,0,0,0,0.09,0.86,0,0
7,46,0,0.12,0,0,0,0,0,0.86,0,0
8,47,0,0.04,0,0.08,0,0,0,0.2,0.68,0
6,48,0,0.08,0,0,0,0,0.55,0.34,0.02,0
7,49,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03
7,50,0.01,0,0,0,0.01,0,0.18,0.79,0,0
3,51,0,0.06,0,0.64,0.18,0,0,0.08,0.03,0
7,52,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,53,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,54,0,0.02,0,0,0,0,0,0.98,0,0
7,55,0,0,0,0,0,0,0,1,0,0
0,56,0.6,0,0,0,0.02,0,0.13,0.25,0,0
7,57,0,0.1,0,0.01,0,0,0.25,0.46,0.16,0
7,58,0.05,0.03,0,0,0,0,0.08,0.83,0,0
0,59,0.83,0.05,0,0.03,0.01,0,0.07,0,0,0
6,60,0,0,0.08,0.44,0,0,0.46,0,0,0
6,61,0.03,0.05,0,0.01,0,0,0.44,0.39,0.06,0
6,62,0,0.27,0,0.03,0.02,0,0.46,0.07,0.15,0
7,63,0,0.19,0,0,0.01,0,0.1,0.69,0,0
0,64,0.38,0.08,0,0,0.01,0,0.19,0.32,0,0
7,65,0,0,0,0,0,0,0,0.99,0,0
7,66,0.24,0,0,0,0,0,0,0.76,0,0
7,67,0.33,0.03,0,0.03,0.01,0,0,0.55,0.04,0
7,68,0,0,0,0,0,0,0.06,0.87,0.06,0
7,69,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
1,70,0,0.52,0.04,0,0,0,0,0,0.09,0.34
7,71,0.16,0.17,0,0.08,0.02,0,0.13,0.37,0.07,0
0,72,0.45,0,0,0.09,0,0,0.09,0.35,0,0
0,73,0.48,0,0.06,0,0.02,0,0,0.43,0,0
7,74,0.39,0.04,0,0.03,0.01,0,0.03,0.45,0.06,0
7,75,0.18,0.04,0,0.03,0,0,0.03,0.71,0,0
8,76,0.02,0,0.03,0.05,0.02,0,0.17,0.1,0.61,0
7,77,0,0.16,0,0,0,0,0.07,0.5,0.23,0
0,78,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,79,0,0,0,0.05,0.93,0,0,0,0.01,0
7,80,0,0.06,0,0,0.03,0,0,0.91,0,0
3,81,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03
7,82,0.06,0.1,0,0.07,0,0,0,0.7,0.08,0
7,83,0,0.04,0,0,0,0,0.28,0.59,0.08,0
7,84,0.03,0.2,0.01,0.03,0,0,0,0.7,0.02,0
8,85,0,0.02,0,0.03,0.02,0,0.16,0.03,0.72,0
7,86,0.04,0.14,0,0.02,0,0,0.02,0.71,0.06,0
7,87,0.03,0.19,0.02,0.04,0.03,0,0.21,0.42,0.07,0
8,88,0,0.2,0,0.13,0,0,0.01,0.23,0.42,0
7,89,0.03,0.24,0.01,0.03,0,0,0.06,0.47,0.12,0.03
7,90,0,0.01,0,0,0,0,0,0.98,0,0
0,91,0.4,0.26,0,0,0,0,0,0.34,0,0
6,92,0.02,0,0,0,0.22,0,0.49,0.12,0.14,0
7,93,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,94,0,0.08,0,0,0,0,0.02,0.87,0.02,0
1,95,0,0.42,0,0.22,0.02,0,0.05,0.22,0.07,0
6,96,0,0.02,0,0.02,0.01,0,0.8,0.02,0.12,0
6,97,0,0.07,0,0.14,0.32,0,0.33,0.13,0,0
7,98,0,0.27,0,0.05,0.03,0,0.02,0.53,0.09,0
7,99,0,0,0,0,0,0,0,0.95,0,0
7,100,0.07,0.22,0,0,0,0,0,0.53,0.16,0
7,101,0,0.3,0,0.06,0.04,0,0,0.53,0.06,0
7,102,0,0,0.01,0,0,0,0.04,0.94,0,0
4,103,0,0,0,0.45,0.47,0,0,0,0,0
7,104,0.28,0.02,0,0,0,0,0.01,0.67,0.02,0
4,105,0,0,0,0.04,0.88,0,0.04,0,0,0
8,106,0.03,0.14,0,0.03,0,0,0.04,0.3,0.46,0
8,107,0,0.19,0,0,0,0,0.02,0.33,0.45,0
6,108,0,0.36,0,0.03,0,0,0.51,0.05,0.05,0
7,109,0,0.04,0,0,0,0,0.01,0.95,0,0
7,110,0,0,0,0,0,0,0.04,0.93,0.02,0
7,111,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,112,0,0.22,0,0,0,0,0,0.77,0,0
1,113,0.12,0.37,0,0,0,0,0.22,0.28,0,0
1,114,0.14,0.74,0,0.01,0,0,0,0.1,0,0
6,115,0,0.19,0,0,0,0,0.39,0.34,0.07,0
7,116,0.04,0,0,0,0,0,0,0.96,0,0
7,117,0,0,0,0,0,0,0.1,0.88,0.01,0
0,118,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
0,119,0.92,0,0,0,0,0,0,0,0,0
7,120,0,0,0,0,0,0,0.06,0.9,0.02,0
3,121,0.01,0.01,0.01,0.66,0.01,0.01,0.01,0.24,0.01,0.01
8,122,0,0.05,0,0,0,0,0.04,0.24,0.68,0
5,123,0,0,0,0,0,1,0,0,0,0
6,124,0,0,0,0,0,0,0.84,0.15,0,0
7,125,0.16,0.08,0,0.02,0,0,0.09,0.64,0,0
1,126,0.14,0.67,0,0,0,0,0,0.18,0,0
7,127,0,0.09,0,0.01,0.04,0,0.16,0.66,0.02,0
7,128,0,0,0,0,0,0,0.08,0.91,0,0
7,129,0,0.23,0,0,0,0,0.06,0.69,0.01,0
6,130,0.14,0,0,0.15,0.13,0,0.56,0,0,0
7,131,0.34,0.04,0,0,0,0,0.06,0.54,0,0
7,132,0.05,0.02,0,0,0,0,0.06,0.86,0,0
7,133,0,0.04,0,0,0,0,0.11,0.74,0.1,0
8,134,0,0.06,0,0,0,0,0.02,0.13,0.78,0
8,135,0,0.06,0,0.39,0,0,0,0,0.55,0
0,136,0.6,0.21,0,0,0.03,0,0.04,0.12,0,0
4,137,0.01,0.03,0,0.01,0.87,0,0.02,0.05,0,0
7,138,0,0.01,0,0,0,0,0.03,0.92,0.03,0
7,139,0,0.11,0,0.01,0,0,0.04,0.44,0.4,0
0,140,0.74,0,0,0.24,0,0,0,0,0,0
8,141,0.07,0,0,0.03,0,0.02,0.07,0,0.81,0
8,142,0,0.02,0,0,0,0,0,0.06,0.92,0
0,143,0.55,0,0.02,0,0,0,0.42,0,0,0
7,144,0,0,0,0,0,0,0,0.99,0,0
7,145,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,146,0,0.02,0,0,0,0,0.04,0.93,0,0
7,147,0,0,0,0,0,0,0.09,0.89,0,0
7,148,0,0.05,0,0.02,0,0,0.06,0.83,0.02,0
1,149,0.19,0.36,0,0,0.14,0,0.15,0.03,0.14,0
6,150,0.15,0.2,0,0,0.11,0,0.34,0.19,0,0
6,151,0,0.19,0,0.13,0.2,0,0.23,0.14,0.1,0
8,152,0.16,0.09,0.05,0,0,0,0,0.2,0.49,0
3,153,0,0.2,0,0.3,0.04,0,0.03,0.26,0.16,0
7,154,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
0,155,0.47,0.02,0,0.02,0.01,0,0.05,0.41,0,0
7,156,0,0.08,0,0,0,0,0.21,0.68,0.02,0
7,157,0,0.08,0,0.02,0.02,0,0,0.84,0.02,0
7,158,0,0,0,0,0,0,0.03,0.96,0,0
4,159,0.01,0.05,0,0,0.77,0,0.13,0.03,0,0
7,160,0.02,0.19,0,0.07,0,0,0.1,0.57,0.05,0
4,161,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03
8,162,0.04,0.14,0.06,0.03,0.03,0,0.21,0.14,0.35,0
8,163,0,0,0,0,0.16,0,0,0,0.7,0.08
6,164,0,0,0,0,0,0.06,0.91,0,0.02,0
0,165,0.32,0.04,0.04,0.14,0,0,0.2,0.25,0,0
7,166,0,0.01,0,0,0,0,0.14,0.8,0.02,0
0,167,0.76,0.11,0,0,0.03,0,0,0.09,0,0
7,168,0,0.44,0,0,0,0,0,0.55,0,0
8,169,0.08,0.08,0.03,0.01,0,0,0,0.11,0.68,0
7,170,0,0.13,0,0.01,0,0,0.18,0.61,0.07,0
8,171,0,0.15,0,0.03,0.02,0,0.12,0.17,0.5,0
8,172,0,0.17,0,0.06,0,0.02,0.37,0,0.38,0
1,173,0,0.5,0,0.48,0,0,0,0,0,0
7,174,0,0.05,0,0,0,0,0,0.95,0,0
7,175,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,176,0,0.07,0,0.03,0,0,0.05,0.76,0.07,0
7,177,0.29,0.02,0,0.01,0,0,0,0.67,0,0
0,178,0.29,0.11,0,0.08,0,0.01,0.25,0.2,0.05,0
7,179,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
7,180,0,0,0,0,0,0,0,0.95,0.04,0
7,181,0,0,0,0,0,0,0.06,0.93,0,0
7,182,0.04,0.25,0,0.01,0,0,0.19,0.49,0,0
2,183,0,0.06,0.77,0,0,0,0.02,0.14,0,0
1,184,0.01,0.48,0,0.01,0.02,0,0.11,0.35,0.02,0
7,185,0.21,0.08,0,0.01,0,0,0,0.66,0.02,0
7,186,0,0.05,0,0,0,0,0.03,0.91,0,0
7,187,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
7,188,0.06,0.03,0.12,0.16,0,0,0.15,0.31,0.17,0
8,189,0,0.06,0,0.01,0,0,0,0.35,0.57,0
0,190,0.42,0.03,0,0.01,0,0.02,0.16,0.34,0,0.02
1,191,0,0.65,0,0.09,0.08,0,0.09,0.04,0.04,0
7,192,0,0.06,0,0,0,0,0.01,0.92,0,0
7,193,0,0.06,0,0.02,0.01,0,0.03,0.85,0.03,0
1,194,0,0.4,0.2,0.15,0.12,0,0,0.13,0,0
0,195,0.42,0.25,0,0.02,0,0,0.08,0.15,0.06,0
3,196,0,0.04,0,0.28,0.2,0,0.11,0.12,0.24,0
7,197,0.01,0.06,0,0,0,0,0.14,0.67,0.1,0
7,198,0,0.11,0,0,0.02,0,0.14,0.74,0,0
8,199,0.02,0.01,0.02,0.22,0.02,0,0.08,0.01,0.6,0
7,200,0,0.12,0,0,0.04,0,0,0.69,0.15,0
8,201,0,0.04,0,0.02,0,0,0.06,0,0.88,0
7,202,0.19,0,0,0,0.01,0,0.31,0.48,0,0
7,203,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
8,204,0,0.19,0,0.01,0,0,0,0.2,0.59,0
0,205,0.77,0.1,0,0,0,0,0,0.12,0,0
7,206,0,0,0,0.02,0,0,0.05,0.91,0,0
7,207,0,0.23,0.01,0,0,0,0.04,0.7,0,0
0,208,0.42,0.04,0,0.03,0,0.02,0.28,0.2,0,0
7,209,0.02,0.15,0,0,0,0,0.18,0.62,0,0
7,210,0.16,0.19,0,0,0,0,0.01,0.63,0,0
0,211,0.5,0.05,0,0.03,0,0.01,0.11,0.29,0,0.01
0,212,0.43,0.12,0,0.02,0,0,0,0.41,0.02,0
7,213,0.03,0.22,0,0,0,0,0.2,0.31,0.23,0
7,214,0.01,0,0,0,0,0,0.09,0.9,0,0
7,215,0,0,0,0,0,0,0,0.98,0.01,0
6,216,0.26,0.14,0,0.05,0,0,0.33,0,0.21,0
7,217,0.48,0,0,0,0,0,0,0.52,0,0
0,218,0.54,0.09,0,0,0.01,0,0.13,0,0.23,0
7,219,0.02,0,0,0,0,0,0,0.97,0,0
7,220,0,0,0,0,0,0,0.07,0.92,0,0
7,221,0,0.19,0,0.09,0.06,0,0.14,0.32,0.19,0
8,222,0.14,0.17,0.07,0.06,0,0,0.04,0.05,0.46,0
4,223,0,0.13,0,0.1,0.43,0,0.18,0.02,0.12,0
7,224,0,0,0,0,0,0,0,1,0,0
1,225,0,0.38,0,0.16,0.03,0,0.05,0.36,0.02,0
4,226,0,0,0,0,0.99,0,0,0,0,0
7,227,0.08,0.13,0.01,0.02,0.06,0,0.12,0.57,0,0
3,228,0,0.15,0.01,0.37,0.1,0,0.12,0.19,0.03,0
7,229,0,0,0,0,0,0,0.03,0.96,0,0
1,230,0,0.51,0,0.23,0.05,0,0.11,0,0.09,0
8,231,0.36,0,0,0.13,0.12,0,0.01,0,0.38,0
7,232,0,0.02,0,0,0,0,0,0.98,0,0
0,233,0.49,0.04,0,0.07,0.02,0,0.24,0.02,0.11,0
7,234,0,0.13,0,0,0,0,0.02,0.84,0,0
0,235,0.59,0.15,0,0.03,0,0,0.04,0.14,0.02,0
0,236,0.86,0.04,0,0,0,0,0.05,0.03,0,0.01
7,237,0.34,0.03,0,0,0.02,0,0.09,0.5,0,0
7,238,0,0,0,0,0.02,0,0.04,0.91,0.02,0
6,239,0,0.22,0,0,0,0,0.44,0.32,0,0
0,240,0.46,0,0,0.04,0,0.06,0.26,0.15,0.02,0.01
7,241,0.03,0.1,0,0,0.06,0,0.05,0.75,0.01,0
7,242,0,0.32,0,0.07,0.01,0,0.05,0.55,0,0
7,243,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
8,244,0.05,0.05,0.04,0.21,0,0,0.21,0.2,0.23,0
8,245,0,0.08,0,0.09,0.03,0,0.16,0.03,0.59,0
0,246,0.74,0.04,0,0,0,0,0.05,0.16,0,0
8,247,0,0.04,0,0,0,0,0.05,0.11,0.79,0
6,248,0.01,0.01,0.01,0.34,0.01,0.01,0.55,0.01,0.01,0.01
7,249,0.06,0.32,0,0,0.04,0,0.23,0.33,0.02,0
7,250,0,0.24,0,0,0,0,0.3,0.41,0.04,0
0,251,0.47,0,0,0.02,0.06,0,0.02,0.42,0,0
7,252,0,0,0,0,0,0,0,0.97,0.01,0
7,253,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.47,0.12,0.01
7,254,0,0,0.11,0,0.27,0,0.22,0.38,0,0
8,255,0,0.28,0,0.04,0.04,0,0.05,0.23,0.37,0
7,256,0,0.27,0,0.01,0.01,0,0.07,0.6,0.03,0
7,257,0,0.17,0,0,0,0,0.08,0.74,0,0
1,258,0,0.46,0,0,0,0,0.37,0.16,0,0
7,259,0.09,0.09,0,0.01,0,0,0.02,0.72,0.05,0
3,260,0,0,0,0.5,0.49,0,0,0,0,0
7,261,0.44,0.01,0,0,0,0,0,0.54,0,0
7,262,0.03,0.02,0,0,0,0,0.11,0.81,0.01,0
7,263,0.08,0.18,0,0,0,0,0.3,0.42,0,0
7,264,0.05,0.06,0,0,0,0,0.07,0.74,0.08,0
8,265,0.03,0.08,0,0.1,0,0,0.3,0.13,0.34,0
7,266,0,0.06,0,0,0,0,0.03,0.89,0.01,0
6,267,0.01,0.01,0.01,0.39,0.01,0.01,0.5,0.01,0.01,0.01
6,268,0.03,0.03,0.03,0.03,0.03,0.03,0.54,0.26,0.03,0.03
9,269,0.02,0.03,0,0.02,0,0,0.26,0.16,0.09,0.41
7,270,0.28,0.08,0.03,0.02,0.02,0,0.04,0.39,0.14,0
7,271,0.3,0.1,0,0.02,0,0,0.09,0.41,0.07,0
0,272,0.77,0,0,0,0,0,0.22,0,0,0
7,273,0.04,0.28,0,0,0,0,0.21,0.45,0,0
5,274,0,0,0,0,0,1,0,0,0,0
6,275,0.14,0.02,0,0.32,0,0,0.48,0,0.02,0
7,276,0,0.02,0.14,0,0.01,0,0.3,0.49,0.02,0
7,277,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
8,278,0.14,0.19,0,0,0,0,0.01,0.31,0.33,0
7,279,0,0.08,0,0,0.01,0,0.06,0.76,0.09,0
8,280,0,0.14,0,0.01,0.03,0,0.19,0.01,0.6,0
1,281,0,0.63,0,0.07,0.06,0,0.11,0.07,0.06,0
1,282,0.25,0.58,0,0,0,0,0.01,0.16,0,0
6,283,0,0.09,0,0.05,0.12,0,0.71,0.03,0,0
7,284,0.22,0.07,0,0.01,0.04,0,0.03,0.6,0.02,0
3,285,0,0.33,0,0.6,0,0,0.01,0.04,0.01,0
2,286,0,0,1,0,0,0,0,0,0,0
6,287,0,0.16,0,0,0.03,0,0.47,0.27,0.05,0
7,288,0.05,0.05,0.01,0,0,0,0.01,0.84,0.03,0
7,289,0,0.12,0,0,0,0,0.08,0.77,0.02,0
8,290,0,0.09,0,0.04,0.04,0,0.04,0.09,0.69,0
8,291,0.01,0.01,0.03,0.11,0.04,0,0.06,0,0.73,0
7,292,0,0.17,0,0.09,0,0,0,0.62,0.11,0
7,293,0.26,0.1,0,0.05,0.01,0,0,0.54,0.03,0
7,294,0,0.07,0,0,0,0,0,0.89,0.03,0
7,295,0.26,0.17,0,0,0.02,0,0.02,0.5,0.05,0
0,296,0.31,0.15,0,0.05,0,0.01,0.18,0.3,0,0
7,297,0.01,0.03,0.27,0.07,0,0,0.01,0.39,0.21,0
4,298,0,0,0.06,0,0.76,0,0.18,0,0,0
7,299,0,0.14,0,0,0,0,0.08,0.78,0,0
7,300,0,0,0,0,0,0,0.03,0.94,0.02,0
0,301,0.57,0.06,0,0.02,0.04,0,0.19,0.12,0,0
8,302,0.07,0.11,0,0.11,0.17,0,0.1,0.14,0.29,0
7,303,0.03,0.16,0,0,0,0,0.04,0.77,0,0
8,304,0.08,0.17,0.03,0.04,0,0,0,0.1,0.57,0
7,305,0,0.34,0,0.18,0.02,0,0.08,0.35,0.02,0
7,306,0,0.04,0,0,0,0,0,0.95,0,0
7,307,0,0.02,0,0,0,0,0.14,0.8,0.03,0
4,308,0,0.12,0,0.06,0.53,0,0.05,0.24,0,0
7,309,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
6,310,0,0.11,0,0.02,0.06,0,0.81,0,0,0
7,311,0,0,0,0,0,0,0.02,0.96,0,0
0,312,0.52,0.09,0,0,0,0,0.03,0.36,0,0
7,313,0.01,0.07,0,0,0.01,0,0.11,0.76,0.02,0
6,314,0.05,0,0,0.09,0,0,0.84,0,0,0
8,315,0,0.09,0,0,0,0,0.01,0.18,0.71,0
8,316,0,0,0,0.03,0.02,0,0.03,0.4,0.51,0
8,317,0,0.07,0.04,0.02,0.04,0,0.25,0.1,0.46,0
7,318,0.33,0,0,0,0,0,0,0.66,0,0
7,319,0,0,0,0,0,0,0.04,0.96,0,0
7,320,0.04,0.14,0,0,0,0,0.07,0.38,0.35,0
0,321,0.97,0,0,0.02,0,0,0,0,0,0
7,322,0,0.02,0,0,0,0,0,0.97,0,0
6,323,0.02,0.08,0,0,0,0,0.76,0.1,0.03,0
1,324,0,0.55,0,0.09,0.01,0,0.05,0.23,0.06,0
7,325,0,0,0,0,0,0,0,0.99,0,0
3,326,0.01,0.16,0,0.37,0.02,0,0.06,0.13,0.25,0
7,327,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01
0,328,0.59,0,0,0,0,0,0,0,0,0.41
1,329,0,0.63,0,0.37,0,0,0,0,0,0
7,330,0,0.24,0,0,0,0,0.08,0.67,0,0
1,331,0.04,0.45,0,0,0,0,0.13,0.35,0,0
7,332,0,0.07,0,0.02,0,0,0.15,0.72,0.03,0
1,333,0.07,0.37,0,0.13,0.02,0,0.28,0.06,0.07,0
4,334,0.01,0.21,0.01,0.13,0.31,0,0.16,0.08,0.09,0
8,335,0,0.23,0,0.03,0.01,0,0,0.14,0.58,0
7,336,0,0.06,0.02,0,0,0,0,0.91,0,0
8,337,0,0,0,0.22,0.1,0,0.04,0,0.63,0
7,338,0.17,0.02,0,0,0,0,0.1,0.7,0,0
0,339,0.81,0.07,0,0,0,0.01,0,0.09,0,0
7,340,0,0.06,0,0,0.01,0,0.07,0.71,0.13,0
7,341,0.17,0.2,0,0,0,0,0.04,0.56,0.02,0
0,342,0.49,0.14,0,0.02,0,0,0,0.35,0,0
6,343,0.32,0.08,0.03,0,0.01,0,0.33,0,0.22,0
7,344,0.09,0.16,0.04,0,0,0,0.14,0.56,0,0
1,345,0.01,0.52,0,0.04,0.01,0,0.04,0.19,0.18,0
7,346,0,0.14,0,0.06,0.01,0,0,0.43,0.36,0
1,347,0,0.72,0,0.02,0,0,0.09,0.11,0,0.04
2,348,0,0.02,0.87,0,0,0,0.04,0.05,0,0
7,349,0.01,0.27,0.02,0,0.02,0,0.01,0.65,0.01,0
8,350,0,0.02,0,0.03,0,0,0,0.31,0.64,0
7,351,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
1,352,0.01,0.34,0.21,0,0.08,0,0.03,0.32,0,0
7,353,0.03,0.09,0.01,0.03,0,0,0.12,0.55,0.17,0
0,354,0.45,0,0,0,0,0,0.25,0,0.26,0
7,355,0.25,0,0,0.02,0,0,0.26,0.44,0.02,0
1,356,0,0.28,0,0.18,0.03,0,0.11,0.25,0.14,0
8,357,0.03,0.13,0,0.05,0,0,0.25,0.23,0.29,0
7,358,0.08,0.15,0,0,0,0,0.08,0.68,0,0
7,359,0,0.02,0,0,0,0,0.01,0.96,0,0
0,360,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1,361,0,0.38,0,0.15,0.06,0,0.33,0,0.07,0
1,362,0.04,0.33,0,0.02,0.01,0,0.1,0.28,0.21,0
