                f0           f1           f2           f3           f4           f5           f6           f7           f8           f9
count  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000  6130.000000
mean      0.034959     0.031912     0.029000     0.414137     0.171628     0.135240     0.098370     0.043246     0.021010     0.014091
std       0.122598     0.111193     0.145653     0.353327     0.233556     0.224903     0.240409     0.133438     0.093824     0.084789
min       0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
25%       0.000000     0.000000     0.000000     0.080000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
50%       0.000000     0.000000     0.000000     0.330000     0.060000     0.030000     0.000000     0.000000     0.000000     0.000000
75%       0.000000     0.010000     0.000000     0.750000     0.240000     0.170000     0.020000     0.020000     0.000000     0.000000
max       1.000000     1.000000     1.000000     1.000000     1.000000     1.000000     1.000000     1.000000     1.000000     1.000000

[8 rows x 10 columns]
