class,id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
0,1,0.52,0,0,0.02,0.03,0.16,0.03,0.23,0,0
0,2,0.81,0,0,0.02,0.12,0.04,0,0,0,0
7,3,0,0,0,0,0,0.3,0,0.69,0,0
6,4,0.04,0,0,0.02,0,0.05,0.6,0,0.02,0.27
7,5,0.04,0,0,0.09,0.03,0.33,0.02,0.47,0.02,0
0,6,0.82,0,0,0.01,0.11,0.02,0,0.03,0,0
7,7,0.36,0.04,0,0.01,0.11,0,0.02,0.45,0,0
5,8,0,0,0,0,0.02,0.65,0,0.33,0,0
0,9,0.53,0,0,0,0.21,0.07,0.16,0,0.03,0
4,10,0.21,0.01,0,0,0.38,0.16,0.05,0.15,0.02,0
4,11,0.08,0,0,0.01,0.5,0.17,0,0.23,0,0
9,12,0,0,0,0,0,0,0,0,0,0.99
5,13,0.05,0.02,0,0.03,0.07,0.64,0.16,0.02,0,0
0,14,0.61,0,0,0,0.1,0.09,0,0.02,0.17,0
6,15,0.02,0.02,0,0,0.05,0.04,0.87,0,0,0
8,16,0,0,0,0,0.03,0.39,0,0.04,0.53,0
9,17,0,0,0,0,0,0,0,0,0,1.0
4,18,0,0.36,0,0.06,0.51,0,0,0,0.06,0
8,19,0,0.01,0,0,0,0.15,0,0,0.84,0
5,20,0.04,0,0,0,0.05,0.49,0.01,0.4,0,0
7,21,0.17,0,0,0,0.02,0.13,0.03,0.62,0.01,0
5,22,0,0,0,0,0,0.95,0,0.05,0,0
7,23,0,0,0,0,0,0.44,0,0.56,0,0
7,24,0,0,0,0,0,0.08,0,0.92,0,0
8,25,0,0.04,0,0.1,0,0,0,0,0.84,0.01
9,26,0,0,0,0,0,0.05,0,0.02,0,0.92
6,27,0.15,0.11,0,0,0.23,0.1,0.37,0.03,0.01,0
5,28,0,0,0,0.07,0,0.48,0,0.31,0.13,0
7,29,0.06,0,0,0,0,0,0,0.93,0,0
0,30,0.49,0.03,0.03,0.03,0.03,0.03,0.03,0.31,0.03,0.03
5,31,0.06,0.02,0,0,0.06,0.54,0.02,0.3,0,0
7,32,0.04,0,0,0,0,0.04,0,0.9,0,0
4,33,0,0,0,0.21,0.46,0,0.32,0,0,0
0,34,0.29,0.28,0,0.11,0.01,0.2,0.02,0,0.06,0.01
6,35,0.2,0.02,0,0,0.33,0,0.36,0.06,0.04,0
6,36,0.02,0,0,0.26,0.16,0.17,0.35,0.04,0,0
5,37,0.13,0,0,0,0.31,0.48,0,0,0.05,0.03
6,38,0.23,0.06,0,0.05,0.04,0.05,0.57,0,0,0
5,39,0.01,0,0,0,0.08,0.86,0.03,0,0,0
3,40,0,0,0,0.38,0.15,0.33,0.14,0,0,0
5,41,0.17,0.01,0,0.02,0.1,0.67,0,0.02,0,0
4,42,0.12,0.04,0,0.22,0.43,0.01,0.18,0,0,0
3,43,0.03,0,0,0.91,0,0.04,0,0.02,0,0
9,44,0,0,0,0,0,0,0.26,0,0,0.74
5,45,0,0,0,0,0,0.97,0,0.03,0,0
5,46,0.05,0,0,0.1,0,0.55,0.14,0.1,0.04,0
0,47,1.0,0,0,0,0,0,0,0,0,0
7,48,0.07,0,0,0.02,0.12,0.19,0.01,0.59,0,0
5,49,0.04,0,0,0,0.08,0.82,0.02,0.03,0,0
0,50,0.38,0,0,0.02,0.17,0.22,0.18,0,0.02,0
5,51,0,0,0,0,0.04,0.87,0,0.08,0,0
5,52,0,0,0,0,0,0.71,0,0.28,0,0
5,53,0.06,0.02,0,0,0.2,0.63,0.07,0,0.02,0
5,54,0,0,0,0,0,0.93,0,0.07,0,0
5,55,0,0,0,0,0,0.84,0,0.16,0,0
5,56,0.01,0,0,0.12,0.06,0.66,0.02,0.12,0,0
5,57,0.1,0.01,0,0,0.28,0.58,0,0,0.02,0
5,58,0,0,0,0.06,0.12,0.77,0.04,0,0,0
5,59,0.08,0.03,0,0.05,0.05,0.72,0,0,0.05,0.02
7,60,0,0,0,0,0,0,0,0.99,0,0
7,61,0.15,0,0,0,0,0.06,0,0.78,0,0
3,62,0.07,0,0,0.36,0.3,0,0.07,0,0.19,0
0,63,1.0,0,0,0,0,0,0,0,0,0
7,64,0,0,0,0,0,0.16,0,0.67,0.17,0
3,65,0.02,0,0,0.39,0.39,0.18,0,0.02,0,0
5,66,0.04,0,0,0,0,0.92,0,0,0.04,0
7,67,0,0,0,0,0.02,0.15,0,0.83,0,0
5,68,0.04,0,0,0,0.02,0.75,0.12,0.07,0,0
3,69,0,0,0,0.96,0,0,0.04,0,0,0
9,70,0.18,0,0,0.05,0.05,0.08,0.12,0.03,0.03,0.46
8,71,0,0,0,0,0,0.05,0,0,0.95,0
7,72,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
6,73,0,0.04,0,0.03,0.19,0,0.73,0,0,0
5,74,0,0,0,0,0,0.83,0,0.14,0,0.02
7,75,0,0,0,0,0,0.1,0,0.89,0,0
8,76,0,0.12,0.01,0,0.07,0.31,0,0.13,0.36,0
5,77,0,0,0,0,0,0.67,0,0.32,0,0
7,78,0,0,0,0,0,0.46,0,0.54,0,0
5,79,0,0,0,0,0,0.95,0,0.05,0,0
6,80,0.05,0.04,0,0.02,0.34,0.02,0.53,0,0,0
5,81,0,0.2,0,0.19,0,0.34,0.26,0,0,0
5,82,0.05,0.01,0,0,0.02,0.87,0,0.02,0.02,0
0,83,0.35,0.01,0,0,0.29,0.28,0.06,0,0,0
6,84,0.18,0.02,0,0.03,0,0.05,0.68,0,0.03,0
3,85,0.1,0,0,0.81,0.05,0,0,0,0.03,0
4,86,0,0,0,0,0.67,0,0.28,0,0,0.04
6,87,0.16,0,0,0,0,0,0.82,0.02,0,0
0,88,0.73,0,0,0.01,0.13,0.02,0,0.1,0,0
5,89,0,0,0,0,0,0.56,0,0.02,0.27,0.15
5,90,0,0,0.24,0,0,0.55,0,0.08,0.12,0
0,91,0.39,0,0,0,0.02,0.32,0,0.26,0,0
1,92,0,0.76,0,0,0,0,0,0,0.08,0.13
3,93,0,0,0,0.95,0,0,0,0.02,0,0.03
3,94,0.06,0,0,0.52,0,0.36,0,0.06,0,0
6,95,0.19,0.08,0,0.08,0.21,0.08,0.34,0,0.01,0
5,96,0.06,0.04,0,0,0,0.66,0.01,0.23,0,0
5,97,0,0,0,0,0,0.76,0,0.23,0,0
5,98,0.05,0,0,0,0.16,0.61,0.1,0.06,0,0
7,99,0.2,0,0,0,0.05,0.05,0,0.69,0,0
4,100,0,0.03,0,0.01,0.7,0,0,0,0.25,0
5,101,0,0,0,0,0,0.89,0,0.11,0,0
5,102,0.07,0,0,0,0.04,0.84,0,0.04,0,0
0,103,0.81,0,0,0.01,0.02,0.11,0,0.04,0,0
8,104,0,0,0,0,0.32,0,0.29,0,0.39,0
8,105,0,0,0,0,0,0,0,0,1.0,0
3,106,0,0.01,0,0.84,0,0.05,0,0,0,0.11
7,107,0.02,0,0,0,0.14,0.17,0,0.62,0.04,0
4,108,0.05,0,0,0.07,0.52,0.36,0,0,0,0
5,109,0.04,0,0,0,0.01,0.82,0.03,0.1,0,0
5,110,0,0,0,0,0,0.83,0,0.14,0.02,0
5,111,0,0.02,0,0.03,0.32,0.52,0.03,0.03,0.05,0
6,112,0,0,0,0,0,0,0.95,0,0,0
6,113,0,0,0,0,0.33,0.04,0.63,0,0,0
6,114,0.03,0,0,0.02,0.07,0.28,0.6,0,0,0
9,115,0,0,0,0,0,0,0.04,0,0,0.96
4,116,0,0,0,0.13,0.85,0.01,0,0,0,0
3,117,0.07,0,0,0.87,0,0,0.04,0,0,0
5,118,0.08,0.05,0,0.04,0.3,0.47,0,0,0.05,0
4,119,0.1,0.15,0,0.12,0.33,0,0.25,0,0.02,0.02
3,120,0.05,0.03,0,0.5,0,0.35,0.04,0,0,0.02
2,121,0,0,1.0,0,0,0,0,0,0,0
8,122,0,0,0,0.11,0,0.35,0.04,0.02,0.46,0
9,123,0,0,0,0,0,0,0,0,0,1.0
