class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9,1,0.12,0,0,0.05,0,0,0,0,0.02,0.7,0.08,0,0,0.01,0,0,0,0,0,0
9,2,0,0,0,0,0,0,0,0.04,0.01,0.82,0.03,0,0,0,0,0,0.02,0.07,0,0
0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0,0.03,0,0.25,0,0.01,0.02,0.36,0,0,0,0,0,0,0,0,0,0,0.31,0
0,5,0.65,0,0,0.04,0,0,0,0,0,0.06,0.08,0,0.05,0.1,0,0,0,0,0,0
9,6,0,0,0,0,0,0,0,0,0.04,0.94,0,0,0,0,0,0,0,0,0,0
9,7,0.2,0,0,0.02,0,0,0,0.01,0.06,0.54,0.02,0,0.15,0,0,0,0,0,0,0
0,8,0.85,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
17,9,0.09,0.34,0,0,0.03,0,0,0,0,0.04,0.11,0,0,0.03,0,0,0,0.35,0,0
9,10,0.18,0.05,0,0.01,0,0.01,0,0.01,0.04,0.28,0.2,0.05,0.15,0,0,0,0,0,0,0
10,11,0.27,0,0,0,0,0,0,0,0.07,0.21,0.31,0.12,0,0,0,0,0,0,0,0
18,12,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.96,0
10,13,0.22,0.04,0,0.14,0,0,0,0.03,0.02,0,0.48,0.02,0,0,0,0,0.01,0,0,0
9,14,0,0,0.12,0,0,0,0,0,0.04,0.82,0,0,0,0,0,0,0,0,0,0
7,15,0,0.03,0,0.32,0,0,0.15,0.46,0.02,0,0,0,0,0,0,0,0,0,0,0
2,16,0.28,0,0.58,0,0,0,0,0,0.07,0,0.04,0,0,0,0,0,0,0.01,0,0
18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
12,18,0,0,0.04,0,0,0,0,0,0.1,0,0.15,0.08,0.46,0.07,0,0.09,0,0,0,0
2,19,0.14,0,0.72,0,0,0.02,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0
0,20,0.72,0,0,0.03,0,0,0,0,0.07,0.08,0.07,0,0.01,0,0,0,0,0,0,0
0,21,0.6,0,0,0.07,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0
0,22,0.87,0,0,0.01,0,0,0,0,0,0,0.09,0.01,0,0,0,0,0,0,0,0
0,23,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,0.99,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
1,25,0,0.52,0.42,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.01,0,0
18,26,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0
