class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
20,1,0,0,0,0.13,0,0.01,0,0,0.02,0,0.02,0,0,0,0,0.01,0,0,0,0.13,0.54,0,0,0,0.1,0,0,0.01,0,0
20,2,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.71,0,0,0,0.13,0.06,0.01,0,0,0
19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0.56,0,0,0,0,0,0,0.02,0,0,0
10,4,0,0,0,0,0,0.03,0,0,0,0.01,0.36,0.32,0,0,0,0.02,0.12,0,0,0,0,0,0,0,0.1,0,0,0,0.02,0
19,5,0,0,0.14,0.05,0.03,0,0,0,0.03,0,0.03,0,0,0,0,0.03,0,0,0,0.56,0,0,0,0,0,0,0.05,0.07,0,0
20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0.04,0,0,0,0,0
19,7,0,0,0,0,0,0,0,0,0.04,0,0.06,0,0,0,0.07,0,0,0,0,0.41,0.37,0,0.02,0,0.03,0,0,0,0,0
15,8,0,0,0,0.03,0.12,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0.27,0,0,0,0,0,0,0.04,0,0,0
3,9,0,0,0,0.43,0,0,0,0,0,0,0,0,0.01,0.04,0,0,0.24,0,0,0,0,0,0,0,0.05,0.21,0,0,0,0
26,10,0,0,0,0.03,0,0,0,0,0.15,0,0,0,0,0,0.01,0.03,0.05,0,0,0.12,0.13,0,0.06,0,0.19,0.01,0.2,0,0,0
26,11,0,0,0.1,0,0.08,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0,0,0.11,0.17,0,0.05,0,0,0,0.42,0,0,0
11,12,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,0,0,0.06,0.37,0.01,0,0,0,0.02,0,0.03,0,0,0,0,0.15,0.04,0,0,0.04,0,0,0,0,0.19,0,0.05,0,0,0
20,14,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0
10,15,0,0,0,0,0,0.1,0.05,0,0,0,0.42,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.18,0.01,0,0,0.03,0
9,16,0,0,0,0,0,0,0,0,0.26,0.56,0,0,0,0,0,0.08,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0
11,17,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,18,0,0,0.02,0.02,0.12,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0.7,0,0.03,0,0,0.03,0,0
9,19,0,0.02,0,0,0,0,0,0.05,0,0.33,0,0,0,0,0,0.3,0,0,0,0,0,0.2,0.09,0,0,0,0,0,0,0
19,20,0,0,0,0.18,0,0,0,0,0.13,0,0,0,0,0,0,0.17,0,0,0,0.44,0.04,0,0,0,0,0,0,0,0,0
19,21,0,0,0,0.09,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0.63,0.16,0,0.02,0,0.01,0,0,0,0,0
15,22,0,0,0.02,0.1,0,0,0,0,0.08,0,0,0,0,0,0,0.76,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0
19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0
14,25,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.92,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0,0,0
11,26,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,27,0,0,0,0.22,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0.52,0,0,0.02,0.05,0,0,0,0.12,0,0,0,0,0
15,28,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.66,0,0,0.01,0.13,0,0.05,0,0,0,0,0,0.08,0,0
19,29,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.11,0,0,0,0,0,0,0,0,0
18,30,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0
19,31,0,0,0,0.07,0,0,0,0,0.12,0,0,0,0,0,0,0.27,0.02,0,0,0.36,0.05,0,0.02,0,0.03,0,0.04,0,0,0
19,32,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.88,0.08,0,0,0,0,0,0,0,0,0
24,33,0,0,0,0,0.08,0.32,0.04,0,0,0,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0.04,0,0.33,0,0.13,0,0,0
18,34,0,0,0,0.2,0,0,0,0,0.11,0,0,0,0,0.14,0,0.02,0,0,0.24,0,0,0,0.02,0,0.23,0.02,0,0,0,0
16,35,0,0,0,0,0.09,0.09,0,0,0,0.03,0.06,0,0,0,0,0,0.27,0,0,0,0.23,0,0.09,0,0.09,0,0,0,0.05,0
16,36,0,0.02,0.12,0.02,0.1,0.01,0,0,0,0,0.09,0,0,0,0,0,0.25,0,0,0.02,0,0,0,0,0.25,0,0,0.11,0,0
8,37,0,0.07,0.09,0,0.1,0,0,0,0.41,0,0,0,0,0,0,0.06,0,0,0,0,0.17,0,0.09,0,0,0,0,0,0,0
10,38,0,0,0,0.02,0.05,0.11,0,0,0.04,0,0.48,0,0,0.02,0,0,0,0,0,0,0,0,0.03,0,0.16,0.05,0,0,0,0
8,39,0,0,0.02,0.26,0,0,0,0,0.49,0,0,0,0,0,0,0.11,0.01,0,0,0.04,0,0,0,0,0.03,0,0.04,0,0,0
2,40,0,0,0.39,0.03,0.05,0.03,0,0,0,0,0.08,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0.19,0,0.02,0.19,0,0
15,41,0,0,0.03,0.08,0.02,0,0,0,0.02,0,0,0,0,0,0,0.36,0,0,0,0,0.25,0,0,0,0.02,0,0.19,0,0,0
24,42,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.08,0,0,0.04,0.01,0.01,0,0.02,0,0.01,0,0.61,0,0.09,0.01,0,0
27,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.01,0
11,44,0,0,0,0,0,0,0.03,0.01,0,0,0.07,0.77,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,45,0,0,0.38,0.08,0,0,0,0,0.36,0,0,0,0,0,0,0.05,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0
15,46,0,0,0,0.17,0,0,0,0.01,0.05,0,0.09,0,0,0,0,0.3,0.03,0,0,0.11,0,0.01,0,0,0.05,0,0.04,0.1,0,0
25,47,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0
19,48,0,0,0,0,0.09,0,0,0,0.02,0,0,0,0,0,0,0.15,0,0,0,0.56,0.09,0,0.03,0,0.02,0,0.02,0,0,0
3,49,0,0,0.01,0.41,0,0,0,0,0.4,0,0,0,0,0,0,0.05,0,0,0,0.07,0,0,0,0,0.03,0,0.02,0,0,0
24,50,0,0,0,0.14,0,0,0,0,0.07,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0.71,0,0,0,0,0
15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.87,0,0,0,0.01,0.03,0,0.01,0,0,0,0.03,0,0,0
15,52,0,0,0,0.11,0,0,0,0,0.01,0,0,0,0,0,0,0.56,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0
3,53,0,0,0,0.63,0,0,0,0.1,0.1,0.01,0,0,0,0,0,0.06,0.05,0,0,0,0,0,0,0,0,0,0.02,0,0,0
15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,55,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
4,56,0,0,0.08,0.25,0.42,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0,0,0.13,0,0,0,0,0,0,0.03,0,0,0
2,57,0,0.01,0.5,0,0,0,0,0,0.13,0,0,0,0,0.02,0,0.24,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0
2,58,0,0,0.38,0.05,0.25,0,0,0,0,0,0,0,0,0,0,0.21,0.04,0,0,0,0,0,0,0,0.07,0,0,0,0,0
8,59,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0
19,61,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0.75,0.17,0,0,0,0,0.01,0,0,0,0
