class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
4,1,0,0,0,0,0.56,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.02,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.06,0,0,0,0.54,0,0.03,0,0,0,0.26,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,0,0,0,0,0,0.06,0,0,0,0.02,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0.02,0.06,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,0,0,0.08,0,0.02,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0.04,0.02,0.01,0.22,0.02,0,0,0,0,0,0,0,0,0,0,0
10,6,0,0,0.03,0,0.21,0,0,0.06,0,0,0.64,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0
19,7,0,0,0,0,0.12,0.03,0,0.08,0,0,0.05,0.03,0.01,0,0,0,0,0,0,0.59,0,0,0,0,0.02,0,0.03,0,0,0.02,0,0,0,0,0,0,0,0,0,0
2,8,0,0,0.66,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0.21,0,0,0,0.21,0.16,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.02,0.17,0,0,0,0,0,0,0,0,0,0,0
25,10,0.02,0,0.02,0,0.18,0.03,0,0.06,0,0,0.01,0.01,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0.45,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
27,11,0,0,0.1,0,0.17,0,0,0.02,0,0.02,0.03,0,0,0,0.06,0,0,0,0,0.16,0,0,0,0,0,0.13,0,0.26,0.03,0,0,0,0,0,0,0,0,0,0,0
16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13,0,0,0.19,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.5,0.08,0.11,0.02,0,0,0,0,0,0,0,0,0,0,0
10,14,0,0,0.09,0.09,0.25,0,0,0.02,0.02,0,0.43,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
