class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
44,1,0,0,0,0,0,0.02,0,0,0,0,0,0,0.19,0,0,0.04,0,0,0,0,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.49,0,0,0.05,0,0
4,2,0,0,0,0.32,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.5,0,0,0,0,0,0.11,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0.25,0,0.02,0
34,4,0,0.01,0,0.29,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.02,0.12,0.05,0,0,0,0,0,0,0,0,0.02,0.02,0,0.35,0,0,0,0,0,0,0,0.02,0,0.03,0,0,0,0,0
44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.81,0,0,0,0,0
1,6,0,0.39,0,0.25,0,0,0,0,0,0,0,0,0.12,0,0.02,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0
3,7,0,0,0,0.35,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0
28,8,0,0,0,0.03,0,0,0,0,0.03,0,0,0,0.19,0,0.02,0,0,0,0.03,0,0,0.01,0,0,0,0.03,0.22,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.12,0,0
12,9,0,0.2,0,0.02,0.05,0,0,0,0,0,0,0,0.33,0,0,0.02,0,0,0,0.02,0,0,0.06,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0.03,0,0,0,0,0
21,10,0,0,0,0.09,0.04,0,0,0,0,0,0,0,0.04,0,0,0.07,0,0,0,0.02,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.01,0,0,0,0,0.09,0.07,0,0,0,0,0
46,11,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0
12,12,0,0,0,0.04,0.1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.07,0.21,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0,0,0,0
44,13,0,0,0,0,0,0,0,0.07,0,0,0,0,0.01,0,0,0.02,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.57,0,0,0,0,0
20,14,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.02,0,0,0,0,0.58,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.13,0,0,0,0.02,0,0,0,0
22,15,0,0,0,0.01,0.23,0,0,0.22,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.06,0.33,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0
46,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
28,17,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.14,0.03,0,0,0,0,0,0.4,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
4,18,0,0,0,0,0.4,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.35,0,0,0,0,0.03,0,0,0,0
3,19,0,0.01,0,0.53,0.03,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.01,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0
3,20,0,0.01,0,0.63,0.02,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.02,0.02,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0
4,21,0,0,0,0.07,0.72,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.01,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
