userId,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,class
Lukash_Money,0.27,0.46,0,0,0,0,0.06,0.2,0.01,0,NN
mashy2,0.15,0.71,0,0,0,0.04,0.05,0.02,0,0.01,NN
_chellllle,0.71,0,0,0,0,0,0,0.29,0,0,NN
cathyca_,0.05,0.04,0.03,0.01,0.22,0,0.53,0,0.12,0,NN
KINGPIZZ,0.4,0.2,0,0,0,0,0.03,0.36,0,0,N
David_Nagy13,0.08,0.9,0,0,0,0,0,0.02,0,0,NN
AREONE27,0,0.4,0,0,0.01,0,0.05,0.55,0,0,N
xdaisy425x,0.95,0,0,0,0,0,0,0.05,0,0,NN
LokilAQW,0.28,0.23,0,0,0,0.21,0.24,0.03,0.01,0,NN
Alex_Siber,0.35,0.35,0.02,0,0,0.01,0.03,0.15,0.06,0,NN
ettbrowneyes,0.65,0.29,0,0,0,0,0,0.03,0.01,0.01,NN
wgarrido_,0,0.03,0.02,0,0.95,0,0,0,0,0,NN
Savosaurus,0.63,0.13,0.02,0,0,0,0.13,0.01,0.08,0,NN
therealCG502,0.21,0.72,0,0.06,0,0,0,0,0,0,NN
margweston,0.04,0.03,0,0,0,0,0.55,0,0.36,0,NN
_Farad,0.57,0,0.04,0.37,0,0,0,0.01,0,0.01,NN
rofesta,0,0,0,0,1.0,0,0,0,0,0,NN
Privitheus,0.03,0.7,0.04,0.2,0,0,0,0,0,0.02,NN
gracianana,0.51,0,0.03,0.44,0,0,0,0,0,0.02,NN
hawaiiianlion,0.68,0.03,0,0,0,0,0.02,0.26,0,0,NN
FlockWithFlacko,0.31,0.11,0,0,0,0,0.02,0.53,0.02,0,N
jennamzh,0.98,0,0,0,0,0,0,0,0,0,NN
ShaeMallory,0.84,0,0,0,0,0,0,0.16,0,0,NN
iiFucked_Swagg,0.41,0,0,0,0,0,0,0.59,0,0,N
_anggithartiwi,0,0.03,0.05,0.13,0,0.02,0.03,0,0,0.74,NN
MerabGro,0.14,0,0,0,0.84,0,0,0,0,0.02,NN
dickclucas,0.27,0.16,0,0.02,0,0,0.44,0.02,0.09,0,NN
syphm1,0.75,0.06,0,0.1,0,0,0,0.09,0,0,NN
Ary_Bacardi,0.23,0.08,0,0,0,0,0,0.69,0,0,N
hkky49mi,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,N
AyyCeci,0.67,0.04,0.02,0,0,0,0.02,0.23,0.02,0,NN
SneakerDorian,0.29,0.02,0,0,0,0,0,0.68,0,0,N
Prosperos_isle,0.19,0.28,0,0,0,0,0.02,0,0.48,0.04,NN
Rikuninchen,0.25,0.24,0.03,0.02,0,0.3,0.13,0.01,0,0,NN
K9DoodiePatolr,0.08,0.45,0.02,0,0,0,0.21,0.05,0.19,0,NN
DFK007,0.16,0.46,0,0,0,0,0.33,0,0.04,0,NN
AnaR915,0.47,0.31,0.01,0,0,0,0,0.04,0,0.16,NN
davidsting414,0.04,0.25,0.02,0,0,0.03,0.39,0,0.25,0,NN
CANNIBOOTY,0.86,0.03,0.04,0,0,0,0.04,0,0.01,0,NN
FereshtehEmami,0.24,0.61,0,0,0,0,0.12,0,0.03,0,NN
M4D31YN,0.75,0.23,0,0,0,0,0.01,0,0,0,NN
_wadem,0.08,0.68,0,0,0,0,0.15,0,0.07,0.02,NN
mightyreds,0,1.0,0,0,0,0,0,0,0,0,NN
PabloScordo1,0,0.06,0,0,0.61,0,0.19,0,0.14,0,NN
nextto16,0.65,0,0.27,0,0,0,0,0.08,0,0,NN
Faklasher,0.58,0.17,0,0.02,0,0,0.14,0.05,0.02,0,NN
Seandonovan94,0.1,0.08,0.02,0,0,0.71,0.06,0,0,0,NN
JLee_Hadley,0.56,0.12,0,0,0,0,0.02,0.3,0,0,NN
ceeyoutea,0.85,0.07,0,0,0,0,0.01,0.01,0.03,0.02,NN
MCNtweets,0.3,0.41,0,0,0,0,0.21,0,0.05,0,NN
skkelley_17,0.96,0.03,0,0,0,0,0,0,0,0,NN
abcdefgayy,0.88,0,0,0,0,0,0,0.11,0,0,NN
demihomo,0.75,0.06,0.01,0.02,0,0,0.07,0,0.05,0.03,NN
LuciDeacon,1.0,0,0,0,0,0,0,0,0,0,NN
Tony_Jorden,0.99,0,0,0,0,0,0,0,0,0,NN
tasha_amy92,0.7,0.23,0,0,0,0,0,0.04,0.01,0,NN
CajsaJacobsen,0.67,0.16,0.03,0,0,0.06,0,0,0,0.07,NN
Ellie_Macintyre,0.69,0.26,0,0,0,0,0.02,0,0.02,0,NN
TayelfylorKloss,0.41,0.11,0.38,0,0,0.01,0,0.03,0,0.04,NN
daddylyrical,0.15,0,0,0,0,0,0,0.85,0,0,N
firripwang,0.28,0.07,0,0,0,0,0.02,0.63,0,0,N
IamCj005,0.04,0.67,0,0,0,0,0.19,0,0,0.09,NN
Mw2Alsaif,0,0,0,0,0,1.0,0,0,0,0,NN
OutSpoken_PB,0.58,0,0,0.09,0,0,0,0.32,0,0,NN
stephengood08,0.24,0.76,0,0,0,0,0,0,0,0,NN
temporlarriefix,0.56,0,0.4,0.04,0,0,0,0,0,0,NN
OhHi_ImDamoo,0.57,0,0,0,0,0,0,0.42,0,0,N
wtvmollie,0.79,0,0.01,0,0,0.01,0.12,0.05,0.02,0,NN
PureSoccerTV,0,0.91,0,0,0,0,0.09,0,0,0,NN
EServanF,0.17,0.22,0,0.02,0.39,0.01,0.16,0,0,0.02,NN
hidayahaha,0.27,0,0,0.73,0,0,0,0,0,0,NN
Ank_yuma1209,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,N
CiscoEngineers,0,0.16,0,0.02,0,0,0.64,0,0.17,0,NN
ontarioweeds,0.58,0,0.04,0,0,0,0,0.3,0,0.08,NN
kina_yanae15,0.54,0,0,0,0,0,0,0.46,0,0,N
wssx_,0.49,0,0.02,0,0.02,0.01,0.07,0.03,0,0.36,NN
opalitetears,0.75,0,0,0,0,0,0,0.23,0,0,NN
jaileneeeeee_,0.77,0,0,0,0,0,0,0.23,0,0,NN
WhitneyEricksen,1.0,0,0,0,0,0,0,0,0,0,NN
nmpanek,0.13,0.2,0.02,0,0,0,0.25,0,0.39,0,NN
samacharsar,0,0,0,0,0,0,0.85,0.14,0,0,NN
bxndhearts,0.59,0.02,0.28,0,0,0,0,0.1,0,0.01,NN
Jag3Dagster,0.46,0.37,0,0,0,0.03,0.1,0,0.03,0,NN
NotMyMoney_,0.07,0.11,0,0.01,0,0,0.77,0,0.02,0,NN
MeLza_17,0,0.96,0,0.02,0,0.02,0,0,0,0,NN
SevenEasyWays,0,0.88,0,0,0,0,0,0,0.12,0,NN
RaceLies,0,0,0,0,0.33,0,0.58,0.08,0,0,NN
TikeGooden,0.13,0.8,0,0,0,0,0,0.07,0,0,NN
CheennyC,0.6,0,0,0,0,0,0,0,0,0.38,NN
_NYOx,0.41,0,0.03,0.49,0,0,0,0.07,0,0,NN
wheresmyCARlos,0.53,0.33,0,0,0,0,0.02,0.12,0,0,NN
WlassM,0,0,0.18,0,0.78,0,0,0,0,0,NN
Saamhmz,0,0,1.0,0,0,0,0,0,0,0,NN
