UserFiltered,Negative,Positive,Label,SUM,Frequency,Retweet,Reply,Reply gets,NegInfluencerInTheirSet
zvqrryobrien61,0,0,NF,0,3,0,0,0,
yvk60,0,0,NF,0,67,0,24,0,
welikeitIoud,0,0,NF,0,4,0,0,0,
wana35584931,-3,0,NF,-3,137,78,58,0,
ukon993301611,0,0,NF,0,542,31,217,0,
tatunori513,0,0,NF,0,153,46,29,0,
stwa29209,0,0,NF,0,3201,0,0,0,
spe77pp,0,0,NF,0,3250,0,0,0,
sena_kishito,0,0,NF,0,219,13,133,0,
sarsha121,0,0,NF,0,941,99,228,0,
SamiBhai22,0,0,NF,0,7,0,4,0,
ribkashi,0,0,NF,0,3116,764,1705,49,
pem_cocoa,0,0,NF,0,1416,73,336,3,
olt160,0,0,NF,0,3230,0,0,0,
nt9909,0,0,NF,0,432,3,0,0,
nmbleke,0,0,NF,0,415,103,0,0,
nikubenkitkat,0,0,NF,0,2,0,127,2,
nicolelove_com,0,0,NF,0,302,143,0,0,
MMohsen29,0,0,NF,0,106,90,147,0,
miyu_miyu121,0,0,NF,0,99,1,3,0,
MarlenVina,0,0,NF,0,3237,0,8,0,
Mamdouhmone,0,0,NF,0,1027,1,0,0,
MalindaSmink,0,0,NF,0,3206,0,2,0,
m62247576101,0,0,NF,0,17,0,0,0,
LakeshaAntoniew,0,0,NF,0,3243,0,0,0,
KhuloodAlNaqbi1,0,0,NF,0,3230,77,0,0,
keeeen91019,0,0,NF,0,225,28,0,0,
jyuken_eitango,0,0,NF,0,3205,0,156,0,
Jarshan990,-2,0,NF,-2,3214,2887,0,0,
Its_3mmak,-4,0,NF,-4,3208,448,242,0,
isara36,0,0,NF,0,3229,3212,2063,0,
il_35i,0,0,NF,0,25,0,1,0,
Haruto_osomathu,0,0,NF,0,3201,670,0,0,
hafsahailey1,0,0,NF,0,2709,2708,340,93,
gtfbh,0,0,NF,0,3199,254,0,0,
GcHekk,0,0,NF,0,2931,2458,2527,1,
ema_1a,0,0,NF,0,3243,0,422,0,
doili_tv,-17,0,NF,-17,63,7,0,0,
dohahamad6,0,0,NF,0,6,0,20,1,
dmfa20915,0,0,NF,0,3234,0,4,0,
dmfa20871,0,0,NF,0,3224,0,0,0,
cjmyxhe,0,0,NF,0,51,0,0,0,
Cecilia_VS_444,0,0,NF,0,3055,118,0,0,
butl31006,0,0,NF,0,3247,0,531,6,
bekkysabasaba,0,0,NF,0,53,0,0,0,
awaljani4,0,0,NF,0,4,0,0,0,
asdfgkxjd1,0,0,NF,0,3251,0,1,0,
anoodii_72,-2,0,NF,-2,768,213,0,0,
Ank_yuma1209,0,0,NF,0,127,3,231,0,
AliGaberAli,0,0,NF,0,1327,22,67,1,
Ahmedl208,-2,0,NF,-2,3225,49,0,0,
83826slhd,0,0,NF,0,3236,0,2,0,
26521stwb,0,0,NF,0,3209,0,0,0,
26102stwa,0,0,NF,0,3235,0,0,0,
07307jcsc,0,0,NF,0,3220,0,0,0,
05405lktb,0,0,NF,0,3216,0,0,0,
04927lktb,0,0,NF,0,3209,0,0,0,
04864lktb,0,0,NF,0,3224,0,0,0,
